"Plan_Fahrt_Id";"SITZPLAETZE";"KAP_1m2";"KAP_2m2";"KAP_3m2";"KAP_4m2"
4;26;39.5;53;66.5;80
5;26;39.5;53;66.5;80
6;26;39.5;53;66.5;80
7;26;39.5;53;66.5;80
8;26;39.5;53;66.5;80
9;26;39.5;53;66.5;80
10;26;39.5;53;66.5;80
11;26;39.5;53;66.5;80
12;26;39.5;53;66.5;80
13;26;39.5;53;66.5;80
14;26;39.5;53;66.5;80
15;26;39.5;53;66.5;80
16;26;39.5;53;66.5;80
17;26;39.5;53;66.5;80
18;26;39.5;53;66.5;80
19;26;39.5;53;66.5;80
20;26;39.5;53;66.5;80
21;26;39.5;53;66.5;80
22;26;39.5;53;66.5;80
23;26;39.5;53;66.5;80
26;13;15.5;18;21;23
27;13;15.5;18;21;23
30;13;15.5;18;21;23
31;13;15.5;18;21;23
32;13;15.5;18;21;23
33;13;15.5;18;21;23
36;13;15.5;18;21;23
37;13;15.5;18;21;23
38;13;15.5;18;21;23
39;13;15.5;18;21;23
42;13;15.5;18;21;23
43;13;15.5;18;21;23
44;13;15.5;18;21;23
45;13;15.5;18;21;23
48;13;15.5;18;21;23
49;13;15.5;18;21;23
50;13;15.5;18;21;23
51;13;15.5;18;21;23
54;13;15.5;18;21;23
55;13;15.5;18;21;23
56;13;15.5;18;21;23
57;13;15.5;18;21;23
60;13;15.5;18;21;23
61;13;15.5;18;21;23
62;13;15.5;18;21;23
63;13;15.5;18;21;23
66;13;15.5;18;21;23
67;13;15.5;18;21;23
68;13;15.5;18;21;23
69;13;15.5;18;21;23
72;13;15.5;18;21;23
73;13;15.5;18;21;23
74;13;15.5;18;21;23
75;13;15.5;18;21;23
78;13;15.5;18;21;23
79;13;15.5;18;21;23
80;13;15.5;18;21;23
81;13;15.5;18;21;23
84;13;15.5;18;21;23
85;13;15.5;18;21;23
86;13;15.5;18;21;23
87;13;15.5;18;21;23
90;13;15.5;18;21;23
91;13;15.5;18;21;23
92;13;15.5;18;21;23
93;13;15.5;18;21;23
96;13;15.5;18;21;23
97;13;15.5;18;21;23
98;13;15.5;18;21;23
99;13;15.5;18;21;23
102;13;15.5;18;21;23
103;13;15.5;18;21;23
104;13;15.5;18;21;23
105;13;15.5;18;21;23
108;13;15.5;18;21;23
109;13;15.5;18;21;23
110;13;15.5;18;21;23
111;13;15.5;18;21;23
114;13;15.5;18;21;23
115;13;15.5;18;21;23
116;13;15.5;18;21;23
117;13;15.5;18;21;23
120;13;15.5;18;21;23
121;13;15.5;18;21;23
122;13;15.5;18;21;23
123;13;15.5;18;21;23
126;13;15.5;18;21;23
127;13;15.5;18;21;23
128;13;15.5;18;21;23
129;13;15.5;18;21;23
132;13;15.5;18;21;23
133;13;15.5;18;21;23
134;13;15.5;18;21;23
135;13;15.5;18;21;23
138;13;15.5;18;21;23
139;13;15.5;18;21;23
140;13;15.5;18;21;23
141;13;15.5;18;21;23
144;13;15.5;18;21;23
145;13;15.5;18;21;23
146;13;15.5;18;21;23
147;13;15.5;18;21;23
150;13;15.5;18;21;23
151;13;15.5;18;21;23
154;32;40.25;48.5;56.75;65
155;32;40.25;48.5;56.75;65
156;32;40.25;48.5;56.75;65
157;32;40.25;48.5;56.75;65
158;32;40.25;48.5;56.75;65
159;32;40.25;48.5;56.75;65
160;32;40.25;48.5;56.75;65
161;32;40.25;48.5;56.75;65
162;32;40.25;48.5;56.75;65
163;32;40.25;48.5;56.75;65
164;32;40.25;48.5;56.75;65
165;32;40.25;48.5;56.75;65
166;32;40.25;48.5;56.75;65
167;32;40.25;48.5;56.75;65
168;32;40.25;48.5;56.75;65
169;32;40.25;48.5;56.75;65
170;32;40.25;48.5;56.75;65
171;32;40.25;48.5;56.75;65
172;32;40.25;48.5;56.75;65
173;32;40.25;48.5;56.75;65
174;32;40.25;48.5;56.75;65
175;32;40.25;48.5;56.75;65
176;32;40.25;48.5;56.75;65
177;32;40.25;48.5;56.75;65
178;32;40.25;48.5;56.75;65
179;32;40.25;48.5;56.75;65
180;32;40.25;48.5;56.75;65
181;32;40.25;48.5;56.75;65
182;32;40.25;48.5;56.75;65
183;32;40.25;48.5;56.75;65
184;32;40.25;48.5;56.75;65
185;32;40.25;48.5;56.75;65
186;32;40.25;48.5;56.75;65
187;32;40.25;48.5;56.75;65
188;32;40.25;48.5;56.75;65
189;32;40.25;48.5;56.75;65
190;32;40.25;48.5;56.75;65
191;32;40.25;48.5;56.75;65
192;32;40.25;48.5;56.75;65
195;32;40.25;48.5;56.75;65
196;32;40.25;48.5;56.75;65
197;32;40.25;48.5;56.75;65
198;32;40.25;48.5;56.75;65
199;32;40.25;48.5;56.75;65
200;32;40.25;48.5;56.75;65
201;32;40.25;48.5;56.75;65
202;32;40.25;48.5;56.75;65
203;32;40.25;48.5;56.75;65
204;32;40.25;48.5;56.75;65
205;32;40.25;48.5;56.75;65
206;32;40.25;48.5;56.75;65
207;32;40.25;48.5;56.75;65
208;32;40.25;48.5;56.75;65
209;32;40.25;48.5;56.75;65
210;32;40.25;48.5;56.75;65
211;32;40.25;48.5;56.75;65
212;32;40.25;48.5;56.75;65
213;32;40.25;48.5;56.75;65
214;32;40.25;48.5;56.75;65
215;32;40.25;48.5;56.75;65
216;32;40.25;48.5;56.75;65
217;32;40.25;48.5;56.75;65
218;32;40.25;48.5;56.75;65
219;32;40.25;48.5;56.75;65
220;32;40.25;48.5;56.75;65
221;32;40.25;48.5;56.75;65
222;32;40.25;48.5;56.75;65
223;32;40.25;48.5;56.75;65
224;32;40.25;48.5;56.75;65
225;32;40.25;48.5;56.75;65
226;32;40.25;48.5;56.75;65
227;32;40.25;48.5;56.75;65
228;32;40.25;48.5;56.75;65
229;32;40.25;48.5;56.75;65
230;32;40.25;48.5;56.75;65
231;32;40.25;48.5;56.75;65
232;32;40.25;48.5;56.75;65
233;32;40.25;48.5;56.75;65
234;32;40.25;48.5;56.75;65
235;32;40.25;48.5;56.75;65
236;32;40.25;48.5;56.75;65
237;32;40.25;48.5;56.75;65
238;32;40.25;48.5;56.75;65
239;32;40.25;48.5;56.75;65
240;32;40.25;48.5;56.75;65
243;32;40.25;48.5;56.75;65
246;32;40.25;48.5;56.75;65
247;32;40.25;48.5;56.75;65
250;32;40.25;48.5;56.75;65
251;32;40.25;48.5;56.75;65
254;32;40.25;48.5;56.75;65
